SAUID;IndicatorID;'Unit';IndType;Bad;ModGood;High;ModGood2;Bad2;Obs;StdErr;ConfA;ConfT;ConfS;ConfM
3;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
4;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
5;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
6;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
7;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
8;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
9;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
10;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
11;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
12;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
13;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
15;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
14;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
16;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
17;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
18;5;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
3;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
4;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
5;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
6;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
7;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
8;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
9;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
10;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
11;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
12;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
13;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
15;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
14;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
16;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
17;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
18;6;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
3;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
4;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
5;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
6;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
7;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
8;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
9;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
10;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
11;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
12;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
13;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
15;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
14;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
16;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
17;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
18;7;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
2;8;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
3;8;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
4;8;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
5;8;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
6;8;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
7;8;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
8;8;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
11;8;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
2;9;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
3;9;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
4;9;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
5;9;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
6;9;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
7;9;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
8;9;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
11;9;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
2;10;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
3;10;Achieve/Fail;1;0;0.5;1;;;0.75;;Medium;Medium;Medium;Medium
4;10;Achieve/Fail;1;0;0.5;1;;;0.75;;Medium;Medium;Medium;Medium
5;10;Achieve/Fail;1;0;0.5;1;;;0.75;;Medium;Medium;Medium;Medium
6;10;Achieve/Fail;1;0;0.5;1;;;0.75;;Medium;Medium;Medium;Medium
7;10;Achieve/Fail;1;0;0.5;1;;;0.75;;Medium;Medium;Medium;Medium
8;10;Achieve/Fail;1;0;0.5;1;;;0.75;;Low;Low;Low;Low
11;10;Achieve/Fail;1;0;0.5;1;;;0.75;;Low;Low;Low;Low
18;2;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
17;2;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
16;2;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
12;2;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
13;2;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
15;2;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
14;2;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
18;3;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
17;3;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
16;3;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
12;3;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
13;3;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
15;3;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
14;3;Achieve/Fail;1;0;0.5;1;;;0.25;;High;High;High;High
18;4;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
17;4;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
16;4;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
12;4;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
13;4;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
15;4;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
14;4;Achieve/Fail;1;0;0.5;1;;;0.75;;High;High;High;High
18;12;%;1;0;0.5;1;;;0.125;;h;l;h;h
17;12;%;1;0;0.5;1;;;0.125;;h;l;h;h
16;12;%;1;0;0.5;1;;;0.125;;h;l;h;h
12;12;%;1;0;0.5;1;;;0.125;;h;i;i;i
13;12;%;1;0;0.5;1;;;0.125;;h;i;i;i
15;12;%;1;0;0.5;1;;;0.125;;h;l;i;i
14;12;%;1;0;0.5;1;;;0.125;;h;l;i;i
18;11;ind;1;0;10000;75000;;;20000;;h;l;h;h
17;11;ind;1;0;10000;75000;;;20000;;h;l;h;h
16;11;ind;1;0;10000;75000;;;20000;;h;l;h;h
12;11;ind;1;0;10000;15000;;;1800;;h;i;i;i
13;11;ind;1;0;10000;15000;;;1800;;h;i;i;i
15;11;ind;1;0;10000;15000;;;1800;;h;l;i;i
14;11;ind;1;0;10000;15000;;;1800;;h;l;i;i
3;14;'%';1;50;107;112;;;105.2;;h;h;h;h
4;14;'%';1;50;107;112;;;105.2;;h;h;h;h
5;14;'%';1;50;107;112;;;105.2;;h;h;h;h
6;14;'%';1;50;107;112;;;105.2;;h;h;h;h
7;14;'%';1;50;107;112;;;105.2;;h;h;h;h
8;14;'%';1;50;107;112;;;105.2;;h;h;h;h
9;14;'%';1;50;107;112;;;105.2;;h;h;h;h
10;14;'%';1;50;107;112;;;105.2;;h;h;h;h
11;14;'%';1;50;107;112;;;105.2;;h;h;h;h
12;14;'%';1;50;107;112;;;105.2;;h;h;h;h
13;14;'%';1;50;107;112;;;105.2;;h;h;h;h
15;14;'%';1;50;107;112;;;105.2;;h;h;h;h
14;14;'%';1;50;107;112;;;105.2;;h;h;h;h
16;14;'%';1;50;107;112;;;105.2;;h;h;h;h
17;14;'%';1;50;107;112;;;105.2;;h;h;h;h
18;14;'%';1;50;107;112;;;105.2;;h;h;h;h
3;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
4;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
5;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
6;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
7;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
8;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
9;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
10;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
11;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
12;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
13;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
15;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
14;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
16;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
17;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
18;13;'ind';1;0;10000;70000;;;60000;;h;h;h;h
2;16;%;1;50;109;113;;;105.2;;h;h;h;h
3;16;%;1;50;109;113;;;105.9;;h;h;h;h
4;16;%;1;50;109;113;;;105.9;;h;h;h;h
5;16;%;1;50;109;113;;;105.9;;h;h;h;h
6;16;%;1;50;109;113;;;105.9;;h;h;h;h
7;16;%;1;50;109;113;;;105.9;;h;h;h;h
8;16;%;1;50;109;113;;;109.5;;h;h;h;h
11;16;%;1;50;109;113;;;109.5;;h;h;h;h
2;15;ind;1;0;10000;12000;;;16000;;h;h;h;h
3;15;ind;1;0;10000;12000;;;16000;;h;h;h;h
4;15;ind;1;0;10000;12000;;;16000;;h;h;h;h
5;15;ind;1;0;10000;12000;;;16000;;h;h;h;h
6;15;ind;1;0;10000;12000;;;16000;;h;h;h;h
7;15;ind;1;0;10000;12000;;;16000;;h;h;h;h
8;15;ind;1;0;10000;12000;;;2900;;h;h;h;h
11;15;ind;1;0;10000;12000;;;2900;;h;h;h;h
3;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
4;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
5;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
6;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
7;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
8;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
9;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
10;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
11;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
12;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
13;21;'mm';1;0;40;70;;;35.7;0.867;h;h;i;h
