SAU;Level;SAUID;ParentID;Area_km2
Baltic Sea;1;1;;416947.647
SEA-001: Kattegat;2;2;1;23945.907
SEA-002: Great Belt;2;3;1;10738.395
SEA-003: The Sound;2;4;1;937.586
SEA-004: Kiel Bay;2;5;1;3599.75
SEA-005: Bay of Mecklenburg;2;6;1;4555.669
SEA-006: Arkona Basin;2;7;1;18059.74
SEA-007: Bornholm Basin;2;8;1;40511.155
SEA-008: Gdansk Basin;2;9;1;5875.877
SEA-009: Eastern Gotland Basin;2;10;1;76243.809
SEA-010: Western Gotland Basin;2;11;1;33911.01
SEA-011: Gulf of Riga;2;12;1;19067.48
SEA-012: Northern Baltic Proper;2;13;1;33212.12
SEA-013: Gulf of Finland;2;14;1;28415.807
SEA-014: Åland Sea;2;15;1;17698.049
SEA-015: Bothnian Sea;2;16;1;59816.809
SEA-016: The Quark;2;17;1;8158.57
SEA-017: Bothnian Bay;2;18;1;32199.914
SEA-001: Kattegat - Opensea;3;19;2;15340.794
SEA-002: Great Belt - Opensea;3;20;3;2066.686
SEA-003: The Sound - Opensea;3;21;4;441.067
SEA-004: Kiel Bay - Opensea;3;22;5;2734.951
SEA-005: Bay of Mecklenburg - Opensea;3;23;6;3489.962
SEA-006: Arkona Basin - Opensea;3;24;7;13527.32
SEA-007: Bornholm Basin - Opensea;3;25;8;38896.041
SEA-008: Gdansk Basin - Opensea;3;26;9;3650.841
SEA-009: Eastern Gotland Basin - Opensea;3;27;10;70789.879
SEA-010: Western Gotland Basin - Opensea;3;28;11;26056.459
SEA-011: Gulf of Riga - Opensea;3;29;12;8674.489
SEA-012: Northern Baltic Proper - Opensea;3;30;13;27507.797
SEA-013: Gulf of Finland - Opensea;3;31;14;15189.732
SEA-014: Åland Sea - Opensea;3;32;15;1896.421
SEA-015: Bothnian Sea - Opensea;3;33;16;49443.069
SEA-016: The Quark - Opensea;3;34;17;2965.173
SEA-017: Bothnian Bay - Opensea;3;35;18;21603.924
1: Bothnian Bay Finnish Coastal waters;3;36;18;5548.149
2: Bothnian Bay Swedish Coastal waters;3;37;18;5047.84
3: The Quark Finnish Coastal waters;3;38;17;3404.899
4: The Quark Swedish Coastal waters;3;39;17;1788.498
5: Bothnian Sea Finnish Coastal waters;3;40;16;3518.646
6: Bothnian Sea Swedish Coastal waters;3;41;16;6855.094
7: Åland Sea Swedish Coastal waters;3;42;15;1692
8: Åland Sea - Archipelago Sea Finnish coastal water;3;43;15;15801.628
9: Northern Baltic Proper Swedish Coastal waters;3;44;13;4492.618
10: Northern Baltic Proper Estonian Coastal waters;3;45;13;1211.705
11: Gulf of Finland Finnish coastal waters;3;46;14;4278.385
12: Gulf of Finland Estonian Coastal waters;3;47;14;3676.881
13: Gulf of Finland Russian Coastal waters;3;48;14;5270.806
14: Gulf of Riga Estonian Coastal waters;3;49;12;8841.401
15: Gulf of Riga Latvian Coastal waters;3;50;12;1551.589
16: Western Gotland Basin Swedish Coastal waters;3;51;11;7854.551
17: Eastern Gotland Basin Estonian Coastal waters;3;52;10;768.58
18: Eastern Gotland Basin Latvian Coastal waters;3;53;10;741.608
19: Eastern Gotland Basin Lithuanian Coastal waters;3;54;10;622.483
20: Eastern Gotland Basin Swedish Coastal waters;3;55;10;1803.306
21: Eastern Gotland Basin Russian Coastal waters;3;56;10;1376.762
22: Eastern Gotland Basin Polish Coastal waters;3;57;10;141.191
23: Gdansk Basin Russian Coastal waters;3;58;9;620.399
24: Gdansk Basin Polish Coastal waters;3;59;9;1604.637
25: Bornholm Basin Swedish Coastal waters;3;60;8;1614
26: Bornholm Basin Polish Coastal waters;3;61;8;857.953
27: Bornholm Basin Danish Coastal waters;3;62;8;232.621
28: Bornholm Basin German Coastal waters;3;63;8;716.023
29: Arkona Basin Swedish Coastal waters;3;64;7;708.128
30: Arkona Basin Danish Coastal waters;3;65;7;1682.998
31: Arkona Basin German Coastal waters;3;66;7;1949.81
32: Mecklenburg Bight German Coastal waters;3;67;6;927.451
33: Mecklenburg Bight Danish Coastal waters;3;68;6;211.392
34: Kiel Bight Danish Coastal waters;3;69;5;179.555
35: Kiel Bight German Coastal waters;3;70;5;612.107
36: Belts Danish Coastal waters;3;71;3;8671.709
37: The Sound Swedish Coastal waters;3;72;4;187.95
38: The Sound Danish Coastal waters;3;73;4;308.569
39: Kattegat Swedish Coastal waters;3;74;2;2305.45
40: Kattegat Danish Coastal waters, including Limfjord;3;75;2;6299.664
DEN-001: Roskilde Fjord, ydre M2;4;76;75;71.868
DEN-002: Roskilde Fjord, indre M2;4;77;75;51.612
DEN-003: Nordlige Fresund OW2;4;78;73;298.006
DEN-004: Kobenhavn Havn OW3b;4;79;73;10.563
DEN-005: Korsor Nor M2;4;80;71;7.84
DEN-006: Basnaes Nor M2;4;81;71;9.531
DEN-007: Holsteinborg Nor M2;4;82;71;6.525
DEN-008: Isefjord, ydre P2;4;83;75;253.448
DEN-009: Skaelskor Fjord og Nor M2;4;84;71;5.254
DEN-010: Musholm Bugt, indre M2;4;85;71;103.494
DEN-011: Sejerobugt OW2;4;86;71;819.049
DEN-012: Kalundborg Fjord P3;4;87;71;57.216
DEN-013: Smalandsfarvandet, syd M1;4;88;71;250.219
DEN-014: Karrebaek Fjord M3;4;89;71;15.457
DEN-015: Dybso Fjord M2;4;90;71;17.111
DEN-016: Avno Fjord M2;4;91;71;40.903
DEN-017: Guldborgsund M2;4;92;71;82.075
DEN-018: Langelandsbaelt, 3st OW3a;4;93;71;59.405
