SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	Status	Conf	ConfClass
2	2	SEA-001: Kattegat	12	3	Small toothed cetaceans	0.4091	sub-GES	0.4375	Low
3	2	SEA-002: Great Belt	12	3	Small toothed cetaceans	0.4091	sub-GES	0.4375	Low
4	2	SEA-003: The Sound	12	3	Small toothed cetaceans	0.4091	sub-GES	0.4375	Low
5	2	SEA-004: Kiel Bay	12	3	Small toothed cetaceans	0.4091	sub-GES	0.4375	Low
6	2	SEA-005: Bay of Mecklenburg	12	3	Small toothed cetaceans	0.4091	sub-GES	0.4375	Low
7	2	SEA-006: Arkona Basin	12	3	Small toothed cetaceans	0.15	sub-GES	0.3333	Low
8	2	SEA-007: Bornholm Basin	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
9	2	SEA-008: Gdansk Basin	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
10	2	SEA-009: Eastern Gotland Basin	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
11	2	SEA-010: Western Gotland Basin	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
12	2	SEA-011: Gulf of Riga	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
13	2	SEA-012: Northern Baltic Proper	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
14	2	SEA-013: Gulf of Finland	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
15	2	SEA-014: Åland Sea	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
16	2	SEA-015: Bothnian Sea	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
17	2	SEA-016: The Quark	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
18	2	SEA-017: Bothnian Bay	12	3	Small toothed cetaceans	0.15	sub-GES	0.25	Low
2	2	SEA-001: Kattegat	13	3	Seals	0.5614	sub-GES	0.5625	Intermediate
3	2	SEA-002: Great Belt	13	3	Seals	0.3	sub-GES	0.8125	High
4	2	SEA-003: The Sound	13	3	Seals	0.3	sub-GES	0.8125	High
5	2	SEA-004: Kiel Bay	13	3	Seals	0.3	sub-GES	0.8125	High
6	2	SEA-005: Bay of Mecklenburg	13	3	Seals	0.3	sub-GES	0.8125	High
7	2	SEA-006: Arkona Basin	13	3	Seals	0.3	sub-GES	0.8125	High
8	2	SEA-007: Bornholm Basin	13	3	Seals	0.174	sub-GES	0.8167	High
9	2	SEA-008: Gdansk Basin	13	3	Seals	0.3	sub-GES	0.8333	High
10	2	SEA-009: Eastern Gotland Basin	13	3	Seals	0.3	sub-GES	0.8333	High
11	2	SEA-010: Western Gotland Basin	13	3	Seals	0.174	sub-GES	0.7708	High
12	2	SEA-011: Gulf of Riga	13	3	Seals	0.108	sub-GES	0.8281	High
13	2	SEA-012: Northern Baltic Proper	13	3	Seals	0.108	sub-GES	0.7917	High
14	2	SEA-013: Gulf of Finland	13	3	Seals	0.108	sub-GES	0.8073	High
15	2	SEA-014: Åland Sea	13	3	Seals	0.108	sub-GES	0.7708	High
16	2	SEA-015: Bothnian Sea	13	3	Seals	0.15	sub-GES	0.8125	High
17	2	SEA-016: The Quark	13	3	Seals	0.15	sub-GES	0.846	High
18	2	SEA-017: Bothnian Bay	13	3	Seals	0.15	sub-GES	0.846	High
2	2	SEA-001: Kattegat	60	4	Harbour porpoise	0.4091	sub-GES	0.4375	Low
